phrase1,phrase2,sentence1,sentence2,label,idx
furniture,furniture,they had too much furniture for the small apartment .,a chair is furniture . sofas are also furniture .,1,1891
ball,ball,the children were playing ball in the garden .,he played with his rubber ball in the bathtub .,0,1892
news,news,is there any news about the storm ?,that 's news to me .,1,1893
keep,keep,keep open the possibility of a merger .,keep my job for me while i give birth .,1,1894
trial,trial,candidates must compete in a trial of skill .,the trials for the semifinals began yesterday .,0,1895
mouth,mouth,"open your mouth and say ' aah ' , directed the doctor .",he stuffed his mouth with candy .,1,1896
tame,tame,tame the soil .,the author finally tamed some of his potentially offensive statements .,0,1897
come,come,come out of the closet !,he comes from humble origins .,0,1898
cycle,cycle,"the "" ring of the nibelung "" is a cycle of four operas by richard wagner , the famous nineteenth-century german composer .",a year constitutes a cycle of the seasons .,0,1899
stay,stay,stay alone .,"after graduation , she stayed on in cambridge as a student adviser .",0,1900
face,face,i wish i had seen the look on his face when he got the news .,he looked out at a roomful of faces .,0,1901
use,use,use the plastic bags to store the food .,we can use this mathematical formula to solve the problem .,1,1902
see,see,i 'll probably see you at the meeting .,the 1960 's saw the rebellion of the younger generation against established traditions .,0,1903
accept,accept,people did not accept atonal music at that time .,we accept the idea of universal health care .,1,1904
rap,rap,you ca n't act irresponsibly and then expect me to take the rap .,it was a bum rap .,1,1905
use,use,use the plastic bags to store the food .,use this knife to slice the bread .,1,1906
post,post,to post someone for cowardice .,post a warning .,1,1907
treat,treat,treat an oil spill .,you treated me like a fool .,0,1908
trial,trial,a trial of progesterone failed to relieve the pain .,candidates must compete in a trial of skill .,0,1909
take,take,tomorrow the doctor will take the cast off her arm .,he took off his shoes .,1,1910
miasma,miasma,a miasma of cigar smoke .,the miasma of the marshes .,1,1911
back,back,which horse are you backing in this race ?,back this enterprise .,1,1912
cover,cover,cover your head !,the period covered the turn of the century .,0,1913
courage,courage,it takes a lot of courage to be successful in business .,a great part of courage is the courage of having done the thing before .,1,1914
give,give,i give you two minutes to respond .,she gave him first aid .,0,1915
raise,raise,we raise hogs here .,raise the price of bread .,0,1916
feel,feel,she has a feel for music .,he has a feel for animals .,1,1917
shed,shed,i did n't shed many tears when he left me .,our dog sheds every spring .,0,1918
make,make,make an estimate .,what do you make of his remarks ?,1,1919
coverage,coverage,do n't go to lunch if we do n't have enough coverage for the help-desk phones .,the enemy fire is increasing – can we get some immediate coverage from those bunkers ?,1,1920
light,light,it brought the scandal to light .,put that light out !,0,1921
term,term,the term allowed to a debtor to discharge his debt .,he was sentenced to a term of six years in prison .,1,1922
appear,appear,he had to appear in court last month .,a ship appeared .,0,1923
air,air,the flock of birds took to the air .,there was a tension in the air which made me suspect an approaching storm .,1,1924
company,company,he started the company in his garage .,he only invests in large well-established companies .,1,1925
order,order,order a work stoppage .,order me some flowers .,1,1926
tell,tell,he could tell that she was unhappy .,ellen told helen about the situation .,0,1927
sex,sex,( the believers ... those ... ) who abstain from sex .,all you ever think about is sex .,1,1928
feeling,feeling,the house gave me a feeling of dread .,he had terrible feelings of guilt .,1,1929
time,time,he waited a long time .,he had a time holding back the tears .,0,1930
drop,drop,drop a hint .,the light dropped from the ceiling .,0,1931
turn,turn,turn your palm this way .,the company turned a good profit after a year .,0,1932
come,come,melons come from a vine .,understanding comes from experience .,1,1933
tear,tear,ryan wiped the tear from the paper he was crying on .,his story brought tears to her eyes .,1,1934
play,play,they gave full play to the artist 's talent .,the coach drew up the plays for her team .,0,1935
life,life,"having experienced both , the vampire decided that he preferred (un)death to life .",he appointed himself emperor for life .,0,1936
day,day,my day began early this morning .,she called it a day and went to bed .,1,1937
construction,construction,he had worked in construction all his life .,i concluded from his awkward constructions that he was a foreigner .,0,1938
roll,roll,roll your hair around your finger .,bill rolled the ball down the hill .,0,1939
operation,operation,the power of its engine determines its operation .,a multinational operation .,0,1940
catch,catch,we have a big barrel to catch the rainwater .,catch a show on broadway .,0,1941
get,get,let 's get down to work now .,she did n't get the joke .,0,1942
day,day,he was a successful pianist in his day .,in the days of sailing ships .,1,1943
catch,catch,i would love to have dinner but i have to catch a plane .,catch the ball !,0,1944
tell,tell,he could tell that she was unhappy .,she told him how he did it .,0,1945
softness,softness,suddenly her gigantic power melted into softness for the baby .,he attributes the disappointing results to softness in the economy .,0,1946
business,business,he bought his brother 's business .,a racially integrated business concern .,1,1947
line,line,he got out of line .,he drew a line on the chart .,0,1948
header,header,"your header is too long ; "" local cannibals "" will suffice .",he took a header into the shrubbery .,0,1949
score,score,settling a score .,the score was 7 to 0 .,0,1950
surgery,surgery,he read the warning in the doctor 's surgery .,i dropped in on the surgery as i was passing to show the doctor my hemorrhoids .,1,1951
likelihood,likelihood,in all likelihood the meeting will be cancelled .,the likelihood is that the inflation rate will continue to rise .,1,1952
background,background,they got a bad connection and could hardly hear one another over the background signals .,he posed her against a background of rolling hills .,0,1953
roll,roll,roll out the paper .,the pastry rolls well .,1,1954
touch,touch,"can he reach ? "" "" the chair must not touch the wall .",the local mafia wo n't touch gambling .,0,1955
table,table,it was a sturdy table .,he entertained the whole table with his witty remarks .,0,1956
plane,plane,any line joining two points on a plane lies wholly on that plane .,the cabinetmaker used a plane for the finish work .,0,1957
conquer,conquer,conquer your fears .,conquer a country .,1,1958
find,find,i can not find my gloves !,physicists believe they found a new elementary particle .,0,1959
impact,impact,the book had an important impact on my thinking .,his friend 's opinion had an impact on his decision .,1,1960
lumberyard,lumberyard,i 'll just go to the lumberyard and buy some more two by fours so we can finish building this .,"he got a job at the lumberyard , working the big saw for planks .",1,1961
get,get,i ca n't get these boots off ( or on ) .,that song gets me so depressed every time i hear it .,1,1962
occur,occur,precious stones occur in a large area in brazil .,sexism occurs in many workplaces .,1,1963
place,place,if you were in my place what would you do ?,he comes from a place near chicago .,0,1964
develop,develop,we must develop more potential customers .,the embryo develops into a fetus .,0,1965
go,go,go about the world in a certain manner .,his knowledge does n't go very far .,0,1966
round,round,we enjoyed our round of the local bars .,the story is going the rounds in washington .,0,1967
pull,pull,you 're going to have to pull harder to get that cork out of the bottle .,the athlete pulled a tendon in the competition .,0,1968
