,sentence1,sentence2,label,hypothesis_graph_structure
3439,"Centrifuges don't increase gravity, the centrifugal force caused by inertia is what causes the effect of 9 g's.",Centrifuges use inertia to perform their task.,1,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3440,Conventional computers may remain common because of technological inertia and because they can continue to perform simpler tasks.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3441,"Each section also includes links to suggested classroom activities, most performed using a Slinky, that demonstrate concepts such as inertia, gravity, potential energy, kinetic energy, longitudinal waves, and centrifugal force.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3442,"Electrical inertia simulation, or a combination of electrical and mechanical simulation may be used in lieu of mechanical flywheels, provided that the performance of the electrically simulated inertia complies with the following specifications.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3443,"Look at the mechanics of movement with a little help from author David Macaulay and use both our minds and bodies to learn about incline planes, levers, fulcrum, inertia, centrifugal force, pulleys and friction.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3444,Performance can compare with conventional actuator systems using expensive low-inertia motors at much lower system cost.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3445,Performance will be satisfactory if the student can use integral calculus to derive moments of inertia for simple macroscopic objects.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3446,"Stories about shuttle launches, space station dockings and space probe expeditions are filled with data that can be used to illustrate concepts such as inertia, speed, acceleration and centrifugal force.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3447,The moment of inertia tests were performed in all three primary axes using torsional spring method.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3448,"They do this because they can't overcome the inertia to change their organization to use it, or the tool doesn't adequately perform the required functions.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3449,Using Moment of Inertia,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3450,inertia balance by using a stroboscope.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3451,A small protozoan named Trichonympha companula lives in the termite s digestive system and does the job of breaking down the cellulose the termite eats.,"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of cellulose.",1,Certain anaerobic parabasalid species<>exist<>in the digestive tracts of termites and wood-eating cockroaches$$$they<>contribute<>an essential step in the digestion of cellulose
3452,An example of a symbiotic member of this Division is the protozoans which live in the gut of termites and digest cellulose in the wood the termites eat.,"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of cellulose.",1,Certain anaerobic parabasalid species<>exist<>in the digestive tracts of termites and wood-eating cockroaches$$$they<>contribute<>an essential step in the digestion of cellulose
3453,Another example is the relation- ship between termites and certain protists that inhabit their digestive tracts and are responsible for the break- down of cellulose into compounds that can be assimilated by their insect hosts.,"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of cellulose.",1,Certain anaerobic parabasalid species<>exist<>in the digestive tracts of termites and wood-eating cockroaches$$$they<>contribute<>an essential step in the digestion of cellulose
3454,Termites are able to digest wood cellulose because of flagellate protozoans in their gut which in turn contain cellulase-producing bacteria.,"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of cellulose.",1,Certain anaerobic parabasalid species<>exist<>in the digestive tracts of termites and wood-eating cockroaches$$$they<>contribute<>an essential step in the digestion of cellulose
3455,"Though termites consume wood, they are unable to digest it but instead possess one-celled protozoa in their gut that breaks down the wood cellulose into a form that the termite can then consume.","Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of cellulose.",1,Certain anaerobic parabasalid species<>exist<>in the digestive tracts of termites and wood-eating cockroaches$$$they<>contribute<>an essential step in the digestion of cellulose
3456,A linkage is a relationship between genes that tends to cause the characteristics of these genes to be inherited together.,Certain characteristics are frequently inherited together because of linkage.,1,Certain characteristics<>are inherited together<>because of linkage<>frequently
3457,"But there is no causal linkage between these physical and behavioral traits, and therefore it is not justifiable to attribute cultural characteristics to genetic inheritance.",Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3458,"In fact, one of the most enduring characteristics of online discussions is the frequent use of citations that the linkage of the Web makes possible.",Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3459,Linkage The tendency for certain genes to be inherited together due to their physical proximity on the chromosome.,Certain characteristics are frequently inherited together because of linkage.,1,Certain characteristics<>are inherited together<>because of linkage<>frequently
3460,Linkage explains why certain characteristics are frequently inherited together.,Certain characteristics are frequently inherited together because of linkage.,1,Certain characteristics<>are inherited together<>because of linkage<>frequently
3461,Managed care organizations inherently possess certain characteristics that facilitate linkages with schools.,Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3462,Specifically genetic markers termed microsatellites are to be analyzed for their linkage to characteristics such as growth and food metabolism for certain fish species.,Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3463,These pragmas are used for defining special linkage characteristics and to associate these linkage characteristics with functions.,Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3464,"These projects are used again when studying crossing over, gene linkage, segregation and independent assortment of alleles in the gametes and studying certain human inheritance patterns.",Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3465,linkage analysis of inherited arthropathies;,Certain characteristics are frequently inherited together because of linkage.,0,Certain characteristics<>are inherited together<>because of linkage<>frequently
3466,Impulse Momentum,Change in momentum in an object is equivalent to impulse .,0,Change in momentum in an object<>is<>equivalent to impulse
3467,Impulse is also described as the change in momentum.,Change in momentum in an object is equivalent to impulse .,1,Change in momentum in an object<>is<>equivalent to impulse
3468,Impulse is change in momentum due to collision.,Change in momentum in an object is equivalent to impulse .,1,Change in momentum in an object<>is<>equivalent to impulse
